pl_name,hostname,sy_snum,sy_pnum,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
TOI-663 c,TOI-663,1,3,2024,Transiting Exoplanet Survey Satellite (TESS),4.6955507,0.0000095,-0.0000094,0,0.0437,0.0016,-0.0016,0,2.26,0.1,-0.1,0,3.65,0.97,-0.97,0,Mass,3681,70,-70,0,0.51,0.02,-0.02,0,0.51,0.01,-0.01,0,[Fe/H],4.73,0.01,-0.01,0,10h40m15.80s,160.0658525,-08d30m39.90s,-8.5110827,64.2308,0.1799,-0.1799
TOI-663 d,TOI-663,1,3,2024,Transiting Exoplanet Survey Satellite (TESS),7.1027268,0.0000297,-0.0000279,0,0.0576,0.0021,-0.0022,0,1.92,0.13,-0.13,0,5.2,,,1,Mass,3681,70,-70,0,0.51,0.02,-0.02,0,0.51,0.01,-0.01,0,[Fe/H],4.73,0.01,-0.01,0,10h40m15.80s,160.0658525,-08d30m39.90s,-8.5110827,64.2308,0.1799,-0.1799
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,2004,Paranal Observatory,,,,,55,,,0,12.9,,,0,1589.15,635.66,-635.66,0,Mass,2825,157,-157,0,0.22,0.01,-0.01,0,0.02,,,0,,5.03,0.02,-0.02,0,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.308,0.6569,-0.644
HD 188641 b,HD 188641,1,1,2022,Multiple Observatories,14583.81038,3328.20988,-2616.26788,0,12.027,1.897,-1.567,0,11.9,,,0,9333.03117,1901.88519,-1179.77905,0,Mass,5897.32,85.35,-116.19,0,1.94,0.07,-0.08,0,1.07,0.13,-0.13,0,[M/H],3.89,0.06,-0.08,0,19h57m37.16s,299.4048303,-37d44m41.58s,-37.7448845,64.3399,0.1793,-0.1784
HD 220197 b,HD 220197,1,1,2018,Roque de los Muchachos Observatory,1728,162,-80,0,2.729,0.168,-0.085,0,9.32,,,0,63.566,22.2481,-12.7132,0,Msini,5683,15,-15,0,0.98,0.02,-0.02,0,0.91,0.02,-0.02,0,[Fe/H],4.42,0.03,-0.03,0,23h21m58.73s,350.4946927,+16d37m56.39s,16.6323305,64.411,0.1944,-0.1932
HD 213472 b,HD 213472,1,1,2021,Multiple Observatories,17000,12000,-4800,0,13,5.7,-2.6,0,13.1,,,0,1112.39942,349.61125,-187.51876,0,Msini,5729.54,99.37,-99.37,0,1.43,0.03,-0.03,0,1.05,0.05,-0.05,0,[Fe/H],4.14,0.03,-0.03,0,22h30m49.68s,337.7069969,+40d43m20.02s,40.7222277,64.4527,0.1509,-0.1501
HD 108236 b,HD 108236,1,5,2020,Transiting Exoplanet Survey Satellite (TESS),3.795963,0.000025,-0.000034,0,0.04527,0.00096,-0.00088,0,1.615,0.051,-0.051,0,3.24,,,0,M-R relationship,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,[Fe/H],4.49,0.11,-0.11,0,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932
HD 108236 c,HD 108236,1,5,2020,Transiting Exoplanet Survey Satellite (TESS),6.203449,0.000049,-0.000046,0,0.062,0.0012,-0.0012,0,2.071,0.052,-0.052,0,4.94,,,0,M-R relationship,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,[Fe/H],4.49,0.11,-0.11,0,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932
HD 108236 d,HD 108236,1,5,2020,Transiting Exoplanet Survey Satellite (TESS),14.175685,0.000083,-0.0001,0,0.1074,0.0023,-0.0023,0,2.539,0.062,-0.065,0,6.98,,,0,M-R relationship,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,[Fe/H],4.49,0.11,-0.11,0,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932
HD 108236 e,HD 108236,1,5,2020,Transiting Exoplanet Survey Satellite (TESS),19.590025,0.000083,-0.000089,0,0.1367,0.0022,-0.002,0,3.083,0.052,-0.052,0,9.71,,,0,M-R relationship,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,[Fe/H],4.49,0.11,-0.11,0,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932
HD 108236 f,HD 108236,1,5,2021,CHaracterising ExOPlanets Satellite (CHEOPS),29.54115,0.00033,-0.00042,0,0.1758,0.0041,-0.0038,0,2.017,0.052,-0.057,0,4.72,,,0,M-R relationship,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,[Fe/H],4.49,0.11,-0.11,0,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932
TOI-784 b,HD 307842,1,1,2023,Transiting Exoplanet Survey Satellite (TESS),2.7970365,0.0000031,-0.000003,0,0.038,0.001,-0.001,0,1.93,0.11,-0.09,0,9.67,0.83,-0.82,0,Mass,5558,100,-100,0,0.91,0.02,-0.02,0,0.91,0.1,-0.1,0,[Fe/H],4.48,0.1,-0.1,0,10h37m21.89s,159.3412205,-63d39m20.49s,-63.6556923,64.5997,0.1104,-0.11
HD 211810 b,HD 211810,1,1,2018,W. M. Keck Observatory,1558,22,-22,0,2.656,0.043,-0.043,0,14,,,0,212.9461,139.8452,-139.8452,0,Msini,5652,,,0,1.13,1.13,-1.13,0,1.03,0.02,-0.02,0,[Fe/H],4.26,0.08,-0.08,0,22h18m06.88s,334.5286724,+61d08m05.97s,61.1349912,64.6353,0.131,-0.1304
HD 220842 b,HD 220842,2,1,2016,Haute-Provence Observatory,218.47,0.19,-0.19,0,0.74,0.018,-0.018,0,13.1,,,0,1010.6994,47.6745,-47.6745,0,Msini,5960,20,-20,0,1.42,0.04,-0.03,0,1.13,0.06,-0.06,0,[Fe/H],4.24,0.02,-0.02,0,23h26m36.82s,351.6534162,+56d53m13.71s,56.8871415,64.6498,0.1678,-0.1669
TOI-277 b,TOI-277,1,1,2022,Transiting Exoplanet Survey Satellite (TESS),3.994,0.0004,-0.0004,0,0.0269,0.0011,-0.0011,0,2.65,0.18,-0.18,0,7.51,,,0,M-R relationship,4031,21,-23,0,0.36,0.01,0,0,0.16,0.01,-0.01,0,[Fe/H],4.58,0.1,-0.13,0,01h16m18.41s,19.0766985,-20d57m11.80s,-20.9532772,64.6692,0.13825,-0.13825
WASP-107 b,WASP-107,1,2,2017,SuperWASP-South,5.7214742,,,0,0.055,0.001,-0.001,0,10.536,0.224,-0.224,0,30.5,1.7,-1.7,0,Mass,4425,70,-70,0,0.67,0.02,-0.02,0,0.68,0.02,-0.02,0,[Fe/H],4.63,0.01,-0.01,0,12h33m32.74s,188.3864277,-10d08m46.37s,-10.1462141,64.7414,0.2617,-0.2596
WASP-107 c,WASP-107,1,2,2020,Multiple Observatories,1088,15,-16,0,,,,,13.2,,,0,115,13,-13,0,Msini,4425,70,-70,0,0.67,0.02,-0.02,0,0.68,0.02,-0.02,0,[Fe/H],4.63,0.01,-0.01,0,12h33m32.74s,188.3864277,-10d08m46.37s,-10.1462141,64.7414,0.2617,-0.2596
TOI-1696 b,TOI-1696,1,1,2022,Transiting Exoplanet Survey Satellite (TESS),2.500311,0.000004,-0.000004,0,0.0229,0.0002,-0.0002,0,3.09,0.11,-0.11,0,48.8,,,1,Mass,3185,76,-76,0,0.28,0.01,-0.01,0,0.26,0.01,-0.01,0,[Fe/H],4.96,0.03,-0.03,0,04h21m07.36s,65.280648,+48d49m11.39s,48.8198312,64.9172,0.3581,-0.3544
TOI-913 b,TOI-913,1,1,2023,Transiting Exoplanet Survey Satellite (TESS),11.098644,0.000587,-0.000581,0,,,,,2.453,0.127,-0.101,0,6.59,,,0,M-R relationship,4969,129,-129,0,0.73,0.05,-0.05,0,0.82,0.1,-0.1,0,[Fe/H],4.62,0.09,-0.09,0,15h38m17.36s,234.5723244,-80d48m12.34s,-80.8034265,65.1769,0.0993,-0.0989
K2-288 B b,K2-288 B,2,1,2018,K2,31.393463,0.000067,-0.000069,0,0.164,0.03,-0.03,0,1.9,0.3,-0.3,0,4.27,,,0,M-R relationship,3341,276,-276,0,0.32,0.03,-0.03,0,0.33,0.02,-0.02,0,[Fe/H],4.96,0.02,-0.02,0,03h41m46.63s,55.4442857,+18d16m06.57s,18.2684913,65.6138,0.8821,-0.8594
HD 191806 b,HD 191806,1,1,2016,Haute-Provence Observatory,1603.38923,9.94172,-11.31279,0,2.749,0.106,-0.118,0,12.5,,,0,2966.61035,292.08431,-270.7898,0,Mass,6010,30,-30,0,1.4,0.02,-0.02,0,1.07,0.13,-0.13,0,[Fe/H],4.45,0.03,-0.03,0,20h09m28.50s,302.368758,+52d16m36.22s,52.2767265,65.6668,0.1125,-0.112
HIP 97166 b,HIP 97166,1,2,2021,Transiting Exoplanet Survey Satellite (TESS),10.288914,0.0000064,-0.0000064,0,0.091,0.002,-0.002,0,2.48,0.073,-0.052,0,19.1,1.6,-1.5,0,Mass,5216,52,-52,0,0.84,0.01,-0.01,0,0.93,0.02,-0.02,0,[Fe/H],4.56,0.01,-0.01,0,19h44m58.71s,296.2446203,+74d03m46.29s,74.0628577,65.9501,0.1014,-0.1012
HIP 97166 c,HIP 97166,1,2,2021,Multiple Observatories,16.432,0.041,-0.041,0,0.124,0.002,-0.002,0,2.75,,,0,8,1.6,-1.6,0,Msini,5216,52,-52,0,0.84,0.01,-0.01,0,0.93,0.02,-0.02,0,[Fe/H],4.56,0.01,-0.01,0,19h44m58.71s,296.2446203,+74d03m46.29s,74.0628577,65.9501,0.1014,-0.1012
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,2018,Mauna Kea Observatory,,,,,1950,200,-200,0,12.4,,,0,3686.80952,413.17693,-317.82841,0,Mass,2859,157,-157,0,0.32,0.01,-0.01,0,0.05,0.01,-0.01,0,,4.91,0,0,0,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.0613,0.4543,-0.4482
HIP 39017 b,HIP 39017,1,1,2024,Multiple Observatories,31000,19000,-9500,0,22.1,8,-8,0,12,,,0,7500.75041,2892.2385,-2351.93021,0,Mass,7201,142.41,-111.62,0,1.52,0.04,-0.07,0,1.52,0.28,-0.26,0,[Fe/H],4.28,0.09,-0.07,0,07h59m03.98s,119.7665756,-04d19m57.36s,-4.3326006,66.3217,0.2047,-0.2035
HIP 109600 b,HIP 109600,2,1,2016,Haute-Provence Observatory,232.08,0.15,-0.15,0,0.706,0.016,-0.016,0,13.2,,,0,851.7844,38.1396,-38.1396,0,Msini,5530,35,-35,0,0.97,0.03,-0.03,0,0.87,0.06,-0.06,0,[Fe/H],4.45,0.03,-0.03,0,22h12m06.50s,333.027079,+29d03m58.35s,29.0662082,66.3361,0.1917,-0.1906
Kepler-1651 b,Kepler-1651,2,1,2017,Kepler,9.87863917,0.00001067,-0.0000101,0,0.0692,,,0,1.84,0.11,-0.11,0,4.04,,,0,M-R relationship,3713,57,-53,0,0.5,0.03,-0.03,0,0.52,0.03,-0.03,0,[Fe/H],4.84,0.05,-0.06,0,18h54m30.78s,283.6282602,+48d23m26.91s,48.3908081,66.4074,0.1062,-0.1059
K2-72 b,K2-72,1,4,2016,K2,5.577212,0.000417,-0.000419,0,0.04,0.004,-0.005,0,1.08,0.11,-0.11,0,1.28,,,0,M-R relationship,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,5.05,0.07,-0.07,0,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991
K2-72 c,K2-72,1,4,2016,K2,15.189034,0.003128,-0.003149,0,0.078,0.007,-0.01,0,1.16,0.13,-0.13,0,1.65,,,0,M-R relationship,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,5.05,0.07,-0.07,0,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991
K2-72 d,K2-72,1,4,2016,K2,7.760178,0.001496,-0.001496,0,0.05,0.004,-0.006,0,1.01,0.12,-0.12,0,1.01,,,0,M-R relationship,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,5.05,0.07,-0.07,0,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991
K2-72 e,K2-72,1,4,2016,K2,24.158868,0.003726,-0.00385,0,0.106,0.009,-0.013,0,1.29,0.14,-0.13,0,2.21,,,0,M-R relationship,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,5.05,0.07,-0.07,0,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991
HD 80606 b,HD 80606,2,1,2001,Multiple Observatories,111.4367,0.0004,-0.0004,0,0.4565,0.0051,-0.0053,0,11.994,0.336,-0.336,0,1392.0954,235.1942,-235.1942,0,Mass,5561,24,-24,0,1.04,0.02,-0.02,0,1.15,0.27,-0.27,0,[Fe/H],4.42,0.02,-0.02,0,09h22m37.67s,140.6569501,+50d36m13.60s,50.6037764,66.4711,0.1612,-0.1604
Kepler-138 b,Kepler-138,1,4,2014,Kepler,10.3134,0.0003,-0.0003,0,0.0753,0.0006,-0.0006,0,0.64,0.02,-0.02,0,0.07,0.02,-0.02,0,Mass,3841,50,-51,0,0.54,0.01,-0.01,0,0.54,0.01,-0.01,0,[Fe/H],4.71,0.03,-0.03,0,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107
Kepler-138 c,Kepler-138,1,4,2014,Kepler,13.7815,0.00007,-0.00009,0,0.0913,0.0007,-0.0007,0,1.51,0.04,-0.04,0,2.3,0.6,-0.5,0,Mass,3841,50,-51,0,0.54,0.01,-0.01,0,0.54,0.01,-0.01,0,[Fe/H],4.71,0.03,-0.03,0,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107
Kepler-138 d,Kepler-138,1,4,2014,Kepler,23.0923,0.0006,-0.0006,0,0.1288,0.001,-0.001,0,1.51,0.04,-0.04,0,2.1,0.6,-0.7,0,Mass,3841,50,-51,0,0.54,0.01,-0.01,0,0.54,0.01,-0.01,0,[Fe/H],4.71,0.03,-0.03,0,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107
Kepler-138 e,Kepler-138,1,4,2022,Multiple Observatories,38.23,0.006,-0.006,0,0.1803,0.0014,-0.0014,0,0.797,,,0,0.43,0.21,-0.1,0,Mass,3841,50,-51,0,0.54,0.01,-0.01,0,0.54,0.01,-0.01,0,[Fe/H],4.71,0.03,-0.03,0,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107
TOI-672 b,TOI-672,1,1,2023,Transiting Exoplanet Survey Satellite (TESS),3.633575,0.000001,-0.000001,0,,,,,5.26,0.083,-0.099,0,24.1,,,0,M-R relationship,3765,65,-65,0,0.54,0.02,-0.02,0,0.54,0.02,-0.02,0,[Fe/H],4.7,0.01,-0.01,0,11h11m57.81s,167.9908627,-39d19m41.21s,-39.3281151,66.9071,0.15285,-0.15285
HD 129445 b,HD 129445,1,1,2009,Las Campanas Observatory,1840,55,-55,0,2.9,0.2,-0.2,0,13.3,,,0,797.7493,349.61125,-171.62734,0,Mass,5646,42,-42,0,1.18,0.01,-0.01,0,0.99,,,0,[Fe/H],4.28,0.1,-0.1,0,14h46m02.50s,221.5104196,-68d45m46.76s,-68.7629901,67.4386,0.1609,-0.1601
HD 208897 b,HD 208897,1,1,2017,Multiple Observatories,358.27,0.87,-1.5,0,1.063,0.002,-0.003,0,13.7,,,0,379.48712,15.57359,-13.98445,0,Msini,4860,100,-100,0,4.98,0.2,-0.2,0,1.25,0.11,-0.11,0,[Fe/H],3.13,0.14,-0.14,0,21h58m59.78s,329.7490639,+19d01m12.57s,19.0201591,67.4872,0.22105,-0.22105
K2-233 b,K2-233,1,3,2018,K2,2.4675,0.00004,-0.00004,0,0.03308,0.0001,-0.00009,0,1.343,0.018,-0.016,0,11.26,,,1,Mass,5033,41,-35,0,0.71,0.01,-0.01,0,0.79,0.01,-0.01,0,[Fe/H],4.64,0.01,-0.01,0,15h21m55.18s,230.4799011,-20d13m54.47s,-20.2317975,67.5062,0.2799,-0.2775
K2-233 c,K2-233,1,3,2018,K2,7.06005,0.00024,-0.00027,0,0.06666,0.0002,-0.00018,0,1.281,0.022,-0.021,0,12.81,,,1,Mass,5033,41,-35,0,0.71,0.01,-0.01,0,0.79,0.01,-0.01,0,[Fe/H],4.64,0.01,-0.01,0,15h21m55.18s,230.4799011,-20d13m54.47s,-20.2317975,67.5062,0.2799,-0.2775
K2-233 d,K2-233,1,3,2018,K2,24.3645,0.00068,-0.00068,0,0.15224,0.00046,-0.00042,0,2.358,0.043,-0.036,0,21.14,,,1,Mass,5033,41,-35,0,0.71,0.01,-0.01,0,0.79,0.01,-0.01,0,[Fe/H],4.64,0.01,-0.01,0,15h21m55.18s,230.4799011,-20d13m54.47s,-20.2317975,67.5062,0.2799,-0.2775
HIP 9618 b,HIP 9618,1,2,2023,Transiting Exoplanet Survey Satellite (TESS),20.772858,0.000047,-0.000047,0,0.145,0.003,-0.003,0,3.828,0.104,-0.088,0,8.3,1.7,-1.7,1,Mass,5649,75,-71,0,0.96,0.02,-0.02,0,0.94,0.03,-0.03,0,[Fe/H],4.45,0.03,-0.02,0,02h03m37.20s,30.9050061,+21d16m52.78s,21.2813274,67.5478,0.1566,-0.1559
HIP 9618 c,HIP 9618,1,2,2023,Transiting Exoplanet Survey Satellite (TESS),52.56363,0.00016,-0.00016,0,0.269,0.005,-0.005,0,3.429,0.097,-0.086,0,7,,,1,Mass,5649,75,-71,0,0.96,0.02,-0.02,0,0.94,0.03,-0.03,0,[Fe/H],4.45,0.03,-0.02,0,02h03m37.20s,30.9050061,+21d16m52.78s,21.2813274,67.5478,0.1566,-0.1559
HD 6061 b,HD 6061,2,1,2023,Transiting Exoplanet Survey Satellite (TESS),5.2549,0.0011,-0.0011,0,0.06,0.001,-0.001,0,2.428,0.099,-0.073,0,10,2.5,-2.5,0,Mass,5934,75,-78,0,1.01,0.02,-0.02,0,1.03,0.03,-0.04,0,[Fe/H],4.44,0.02,-0.02,0,01h02m23.55s,15.5981441,+37d11m07.58s,37.1854394,67.6203,0.2053,-0.204
HD 163607 b,HD 163607,1,2,2010,W. M. Keck Observatory,75.2203,0.0094,-0.0094,0,0.362,0.016,-0.016,0,13.9,,,0,249.05159,3.11473,-3.11473,0,Msini,5522,,,0,1.76,,,0,1.12,,,0,[Fe/H],3.97,,,0,17h53m40.35s,268.4181383,+56d23m32.89s,56.3924701,67.7855,0.1639,-0.1632
HD 163607 c,HD 163607,1,2,2010,W. M. Keck Observatory,1272,4.4,-4.4,0,2.39,0.11,-0.11,0,13.3,,,0,699.54383,11.75971,-11.75971,0,Msini,5522,,,0,1.76,,,0,1.12,,,0,[Fe/H],3.97,,,0,17h53m40.35s,268.4181383,+56d23m32.89s,56.3924701,67.7855,0.1639,-0.1632
HD 86264 b,HD 86264,1,1,2009,Lick Observatory,1488.79123,58.01645,-46.45772,0,2.763,0.145,-0.155,0,12.5,,,0,3117.26102,3741.79384,-608.95923,0,Mass,6210,44,-44,0,1.88,0.12,-0.12,0,1.26,0.18,-0.18,0,[Fe/H],4.02,0.1,-0.1,0,09h56m57.82s,149.2409308,-15d53m43.44s,-15.8953993,67.8107,0.2753,-0.2731
HD 109246 b,HD 109246,1,1,2010,Haute-Provence Observatory,68.27,0.13,-0.13,0,0.33,0.01,-0.01,0,13.9,,,0,273.3338,79.4575,-79.4575,0,Msini,5844,21,-21,0,1.07,0.02,-0.02,0,1.2,0.53,-0.53,0,[Fe/H],4.46,0.19,-0.19,0,12h32m06.52s,188.027184,+74d29m21.62s,74.4893379,67.8349,0.1236,-0.1232
HD 27969 b,HD 27969,1,1,2021,Haute-Provence Observatory,654.5,5.7,-5.8,0,1.552,0.032,-0.033,0,12.9,,,0,1525.57635,76.27882,-73.10053,0,Msini,5966,21,-21,0,1.27,0.1,-0.1,0,1.16,0.07,-0.07,0,[Fe/H],4.12,0.04,-0.04,0,04h26m49.64s,66.7068364,+42d54m31.39s,42.90872,67.9328,0.3043,-0.3018
HD 11977 b,HD 11977,1,1,2005,La Silla Observatory,711,8,-8,0,1.93,,,0,12.7,,,0,2080,,,0,Msini,4970,70,-70,0,10.09,0.32,-0.32,0,1.91,0.21,-0.21,0,[Fe/H],2.9,0.2,-0.2,0,01h54m56.34s,28.7347403,-67d38m49.15s,-67.6469871,67.9331,0.70825,-0.70825
TOI-871 b,TOI-871,1,1,2024,Transiting Exoplanet Survey Satellite (TESS),14.362565,0.00009,-0.00009,0,0.1054,0.0021,-0.0021,0,1.664,0.114,-0.113,0,3.41,,,0,M-R relationship,4929,80,-75,0,0.72,0.03,-0.03,0,0.76,0.05,-0.04,0,[Fe/H],4.6,0.03,-0.03,0,04h58m57.03s,74.7376264,-50d37m38.70s,-50.6274153,68.0473,0.1038,-0.1035
TOI-1064 b,TOI-1064,1,2,2022,Transiting Exoplanet Survey Satellite (TESS),6.443868,0.000025,-0.000025,0,0.06152,0.00086,-0.00089,0,2.587,0.043,-0.042,0,13.5,1.7,-1.8,0,Mass,4734,67,-67,0,0.73,0.01,-0.01,0,0.75,0.03,-0.03,0,[Fe/H],4.6,0.06,-0.06,0,19h44m00.94s,296.0039349,-47d33m43.31s,-47.5620305,68.0726,0.3639,-0.3601
TOI-1064 c,TOI-1064,1,2,2022,Transiting Exoplanet Survey Satellite (TESS),12.226574,0.000046,-0.000043,0,0.09429,0.00132,-0.00136,0,2.651,0.043,-0.042,0,2.5,1.8,-2,0,Mass,4734,67,-67,0,0.73,0.01,-0.01,0,0.75,0.03,-0.03,0,[Fe/H],4.6,0.06,-0.06,0,19h44m00.94s,296.0039349,-47d33m43.31s,-47.5620305,68.0726,0.3639,-0.3601
HD 66141 b,HD 66141,1,1,2012,Bohyunsan Optical Astronomical Observatory,480.5,0.5,-0.5,0,1.2,0.1,-0.1,0,12.8,,,0,1906.9,95.3,-95.3,0,Msini,4323,15,-15,0,21.4,0.6,-0.6,0,1.1,0.1,-0.1,0,[Fe/H],1.78,0.04,-0.04,0,08h02m15.91s,120.5662825,+02d20m06.10s,2.3350265,68.1509,2.11345,-2.11345
Kepler-409 b,Kepler-409,1,1,2014,Kepler,68.9583216,0.0000039,-0.0000039,0,0.3192,0.006,-0.006,0,1.199,0.043,-0.043,0,6,,,1,Mass,5421,64,-64,0,0.9,0.01,-0.01,0,0.91,0.05,-0.05,0,[Fe/H],4.5,0.01,-0.01,0,19h34m43.01s,293.6792058,+46d51m09.84s,46.8527337,68.173,0.0996,-0.0993
HD 42813 b,HD 42813,1,3,2023,Transiting Exoplanet Survey Satellite (TESS),13.630828,0.000024,-0.000024,0,0.11,0.002,-0.002,0,3.426,0.097,-0.09,0,5.9,2,-2,0,Mass,5323,73,-71,0,0.98,0.02,-0.02,0,0.95,0.03,-0.03,0,[Fe/H],4.42,0.03,-0.03,0,06h12m13.88s,93.0578446,-14d38m57.54s,-14.6493167,68.192,0.1772,-0.1763
HIP 29442 c,HD 42813,1,3,2023,Paranal Observatory,3.53796,0.00003,-0.00003,0,0.0436,0.0006,-0.0007,0,1.58,0.1,-0.11,0,4.5,0.3,-0.3,0,Mass,5289,69,-69,0,0.98,0.03,-0.03,0,0.89,0.04,-0.04,0,[Fe/H],4.39,0.03,-0.03,0,06h12m13.88s,93.0578446,-14d38m57.54s,-14.6493167,68.192,0.1772,-0.1763
HIP 29442 d,HD 42813,1,3,2023,Paranal Observatory,6.42975,0.00009,-0.0001,0,0.0649,0.0009,-0.001,0,1.37,0.11,-0.11,0,5.1,0.4,-0.4,0,Mass,5289,69,-69,0,0.98,0.03,-0.03,0,0.89,0.04,-0.04,0,[Fe/H],4.39,0.03,-0.03,0,06h12m13.88s,93.0578446,-14d38m57.54s,-14.6493167,68.192,0.1772,-0.1763
TOI-128.01,TOI-128,1,1,2024,Transiting Exoplanet Survey Satellite (TESS),4.9404681,,,0,0.05381,,,0,2.219,0.109,-0.109,0,5.56,,,0,M-R relationship,6086,,,0,1.13,,,0,0.85,,,0,,4.26,,,0,05h18m05.03s,79.5209381,-80d57m51.78s,-80.964384,68.4727,0.1192,-0.1188
HD 143361 b,HD 143361,1,1,2008,Las Campanas Observatory,1039.15,1.64,-1.7,0,1.988,0.018,-0.018,0,12.9,,,0,1382.55357,381.39409,-209.76675,0,Mass,5507,10,-10,0,0.92,0.04,-0.04,0,0.97,0.03,-0.03,0,[Fe/H],4.47,0.04,-0.04,0,16h01m50.12s,240.4588405,-44d26m06.21s,-44.4350575,68.5146,0.2971,-0.2946
TOI-4184 b,TOI-4184,1,1,2023,Transiting Exoplanet Survey Satellite (TESS),4.9019804,0.0000052,-0.0000052,0,0.0336,0.0015,-0.0015,0,2.43,0.21,-0.21,0,6.48,,,0,M-R relationship,3238,48,-49,0,0.23,0.02,-0.02,0,0.21,0.03,-0.03,0,[Fe/H],5.01,0.04,-0.04,0,02h55m18.83s,43.8284749,-79d24m52.93s,-79.4147039,69.3649,0.3243,-0.3215
K2-151 b,K2-151,2,1,2018,K2,3.835476,0.000266,-0.000256,0,0.0373,0.0002,-0.0002,0,1.49,0.08,-0.08,0,2.83,,,0,M-R relationship,3695,32,-32,0,0.45,0.01,-0.01,0,0.47,0.01,-0.01,0,[Fe/H],4.8,0.01,-0.01,0,01h17m13.15s,19.3047733,+09d30m04.56s,9.5012663,69.4798,0.1524,-0.1517
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,2016,W. M. Keck Observatory,,,,,230,20,-20,0,12.3,,,0,3972.875,476.745,-476.745,0,Mass,4045,35,-35,0,0.64,0.06,-0.06,0,0.6,0.05,-0.05,0,,4.62,0.09,-0.13,0,22h36m24.62s,339.1025931,+47d51m42.06s,47.861683,69.5737,0.1592,-0.1585
HD 179079 b,HD 179079,1,1,2008,W. M. Keck Observatory,14.479,0.01,-0.01,0,0.1214,0.0068,-0.0068,0,5.48,,,0,25.74423,6.3566,-6.3566,0,Msini,5646,,,0,1.63,0.09,-0.09,0,1.14,0.19,-0.19,0,[Fe/H],4.16,0.03,-0.03,0,19h11m09.69s,287.7903733,-02d38m19.57s,-2.6387703,69.7116,0.3982,-0.3938
HD 72892 b,HD 72892,1,1,2016,Multiple Observatories,39.44603,0.00168,-0.00145,0,0.228,0.009,-0.01,0,12.8,,,0,1737.88573,143.65844,-150.96849,0,Msini,5688,100,-100,0,1.22,0.06,-0.06,0,1.01,0.13,-0.13,0,[Fe/H],4.27,0.05,-0.05,0,08h34m52.69s,128.7195554,-14d27m26.75s,-14.4574311,69.7311,0.1871,-0.1862
eps CrB b,eps CrB,1,1,2012,Bohyunsan Optical Astronomical Observatory,417.9,0.5,-0.5,0,1.3,,,0,12.7,,,0,2129.461,95.349,-95.349,0,Msini,4406,15,-15,0,21,,,0,1.7,0.1,-0.1,0,[Fe/H],1.94,0.08,-0.08,0,15h57m35.16s,239.3965057,+26d52m39.42s,26.8776171,69.8683,1.073,-1.0415
