pl_name,hostname,sy_snum,sy_pnum,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
GJ 1061 d,GJ 1061,1,3,2020,La Silla Observatory,13.031,0.025,-0.032,0,0.054,0.001,-0.001,0,1.16,,,0,1.64,0.24,-0.23,0,Msini,2953,98,-98,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,[Fe/H],5.16,0.04,-0.04,0,03h36m00.78s,54.0032486,-44d30m51.52s,-44.5143104,3.67278,0.00089,-0.0009
YZ Cet b,YZ Cet,1,3,2017,La Silla Observatory,2.02087,0.00007,-0.00009,0,0.01634,0.00035,-0.00041,0,0.913,,,0,0.7,0.09,-0.08,0,Msini,3151,51,-51,0,0.16,0.01,-0.01,0,0.14,0.01,-0.01,0,[Fe/H],5.17,0.07,-0.07,0,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.71207,0.00109,-0.00109
YZ Cet c,YZ Cet,1,3,2017,La Silla Observatory,3.05989,0.0001,-0.0001,0,0.02156,0.00046,-0.00054,0,1.05,,,0,1.14,0.11,-0.1,0,Msini,3151,51,-51,0,0.16,0.01,-0.01,0,0.14,0.01,-0.01,0,[Fe/H],5.17,0.07,-0.07,0,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.71207,0.00109,-0.00109
YZ Cet d,YZ Cet,1,3,2017,La Silla Observatory,4.65626,0.00028,-0.00029,0,0.02851,0.00061,-0.00071,0,1.03,,,0,1.09,0.12,-0.12,0,Msini,3151,51,-51,0,0.16,0.01,-0.01,0,0.14,0.01,-0.01,0,[Fe/H],5.17,0.07,-0.07,0,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.71207,0.00109,-0.00109
Teegarden's Star b,Teegarden's Star,1,3,2019,Calar Alto Observatory,4.90634,0.00041,-0.00041,0,0.0259,0.0008,-0.0009,0,1.05,,,0,1.16,0.12,-0.11,0,Msini,3034,45,-45,0,0.12,0.01,-0.01,0,0.1,0.01,-0.01,0,[Fe/H],5.19,0.2,-0.2,0,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,3.83078,0.00398,-0.00397
Teegarden's Star c,Teegarden's Star,1,3,2019,Calar Alto Observatory,11.416,0.003,-0.003,0,0.0455,0.0015,-0.0016,0,1.02,,,0,1.05,0.14,-0.13,0,Msini,3034,45,-45,0,0.12,0.01,-0.01,0,0.1,0.01,-0.01,0,[Fe/H],5.19,0.2,-0.2,0,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,3.83078,0.00398,-0.00397
Teegarden's Star d,Teegarden's Star,1,3,2024,Multiple Observatories,26.13,0.03,-0.04,0,0.0791,0.0025,-0.0027,0,0.954,,,0,0.82,0.17,-0.17,0,Msini,3034,45,-45,0,0.12,0.01,-0.01,0,0.1,0.01,-0.01,0,[Fe/H],5.19,0.2,-0.2,0,02h53m04.59s,43.2691449,+16d51m53.65s,16.8649024,3.83078,0.00398,-0.00397
Kapteyn c,Kapteyn,1,1,2014,Multiple Observatories,121.54,0.25,-0.25,0,0.311,0.038,-0.014,0,2.54,,,0,7,1.2,-1,0,Msini,3550,50,-50,0,0.29,0.03,-0.03,0,0.28,0.01,-0.01,0,[M/H],4.92,0.01,-0.01,0,05h11m50.08s,77.9586613,-45d02m34.87s,-45.0430198,3.93305,0.00041,-0.00041
Wolf 1061 b,Wolf 1061,1,3,2015,La Silla Observatory,4.8869,0.0005,-0.0005,0,0.0375,0.0012,-0.0013,0,1.21,,,0,1.91,0.26,-0.25,0,Msini,3342,49,-49,0,0.31,0.03,-0.03,0,0.29,,,0,[Fe/H],4.9,0,0,0,16h30m17.96s,247.5748276,-12d40m03.67s,-12.6676866,4.30592,0.00118,-0.00118
Wolf 1061 c,Wolf 1061,1,3,2015,La Silla Observatory,17.8719,0.0059,-0.0059,0,0.089,0.0029,-0.0031,0,1.66,,,0,3.41,0.43,-0.41,0,Msini,3342,49,-49,0,0.31,0.03,-0.03,0,0.29,,,0,[Fe/H],4.9,0,0,0,16h30m17.96s,247.5748276,-12d40m03.67s,-12.6676866,4.30592,0.00118,-0.00118
Wolf 1061 d,Wolf 1061,1,3,2015,La Silla Observatory,217.21,0.55,-0.52,0,0.47,0.015,-0.017,0,2.69,,,0,7.7,1.12,-1.06,0,Msini,3342,49,-49,0,0.31,0.03,-0.03,0,0.29,,,0,[Fe/H],4.9,0,0,0,16h30m17.96s,247.5748276,-12d40m03.67s,-12.6676866,4.30592,0.00118,-0.00118
GJ 9066 c,GJ 9066,1,1,2020,Multiple Observatories,771.36,1.34,-1.23,0,0.88,0.02,-0.02,0,9.6,,,0,66.74397,6.35657,-6.35657,0,Msini,3154,54,-54,0,0.16,0.01,-0.01,0,0.15,0.01,-0.01,0,[Fe/H],5.01,0.06,-0.06,0,02h00m14.12s,30.0588307,+13d02m39.54s,13.0443172,4.471,0.00215,-0.00215
GJ 674 b,GJ 674,1,1,2007,La Silla Observatory,4.6938,0.007,-0.007,0,0.039,,,0,3.33,,,0,11.09,,,0,Msini,3600,100,-100,0,0.36,0.01,-0.01,0,0.35,,,0,[Fe/H],4.86,0,0,0,17h28m40.81s,262.1700476,-46d53m56.34s,-46.8989826,4.54896,0.001015,-0.001015
GJ 687 b,GJ 687,1,2,2014,Lick Observatory,38.142,0.007,-0.007,0,0.163,0.003,-0.003,0,4.32,,,0,17.2,1,-1,0,Msini,3413,28,-28,0,0.42,0.01,-0.01,0,0.4,0.02,-0.02,0,[Fe/H],4.86,0.01,-0.01,0,17h36m25.00s,264.1041731,+68d20m01.23s,68.3336741,4.54939,0.00068,-0.00068
GJ 687 c,GJ 687,1,2,2020,Multiple Observatories,727.562,12.198,-12.198,0,1.165,0.023,-0.023,0,4.14,,,0,16,4.1,-4.1,0,Msini,3413,28,-28,0,0.42,0.01,-0.01,0,0.4,0.02,-0.02,0,[Fe/H],4.82,0,0,0,17h36m25.00s,264.1041731,+68d20m01.23s,68.3336741,4.54939,0.00068,-0.00068
GJ 876 b,GJ 876,1,4,1998,Multiple Observatories,61.1166,0.0086,-0.0086,0,0.208317,0.00002,-0.00002,0,13.3,,,0,723.2235,1.4302,-1.4302,0,Mass,3293.74,48.39,-48.39,0,0.3,,,0,0.32,0.03,-0.03,0,[Fe/H],4.87,0,0,0,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,0.00167,-0.00167
GJ 876 c,GJ 876,1,4,2000,Multiple Observatories,30.0881,0.0082,-0.0082,0,0.12959,0.000024,-0.000024,0,14,,,0,226.9846,1.2395,-1.2395,0,Mass,3293.74,48.39,-48.39,0,0.3,,,0,0.32,0.03,-0.03,0,[Fe/H],4.87,0,0,0,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,0.00167,-0.00167
GJ 876 d,GJ 876,1,4,2005,W. M. Keck Observatory,1.93778,0.00002,-0.00002,0,0.020807,0,0,0,2.51,,,0,6.83,0.4,-0.4,0,Mass,3293.74,48.39,-48.39,0,0.3,,,0,0.32,0.03,-0.03,0,[Fe/H],4.87,0,0,0,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,0.00167,-0.00167
GJ 876 e,GJ 876,1,4,2010,W. M. Keck Observatory,124.26,0.7,-0.7,0,0.3343,0.0013,-0.0013,0,3.92,,,0,14.6,1.7,-1.7,0,Mass,3271,157,-157,0,0.3,,,0,0.32,0.03,-0.03,0,[Fe/H],4.87,0,0,0,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,4.67517,0.00167,-0.00167
GJ 1002 b,GJ 1002,1,2,2022,Multiple Observatories,10.3465,0.027,-0.027,0,0.0457,0.0013,-0.0013,0,1.03,,,0,1.08,0.13,-0.13,0,Msini,3024,52,-52,0,0.14,0.01,-0.01,0,0.12,0.01,-0.01,0,[Fe/H],5.1,0.06,-0.06,0,00h06m42.35s,1.6764641,-07d32m46.36s,-7.5462123,4.84867,0.00303,-0.00304
GJ 1002 c,GJ 1002,1,2,2022,Multiple Observatories,21.202,0.013,-0.013,0,0.0738,0.0021,-0.0021,0,1.1,,,0,1.36,0.17,-0.17,0,Msini,3024,52,-52,0,0.14,0.01,-0.01,0,0.12,0.01,-0.01,0,[Fe/H],5.1,0.06,-0.06,0,00h06m42.35s,1.6764641,-07d32m46.36s,-7.5462123,4.84867,0.00303,-0.00304
GJ 832 b,GJ 832,1,1,2008,Anglo-Australian Telescope,3853,51,-47,0,3.7,0.1,-0.1,0,13.8,,,0,314.65012,28.60456,-25.42627,0,Mass,3472,,,0,0.44,0.01,-0.01,0,0.45,0.01,-0.01,0,[Fe/H],4.79,0.01,-0.01,0,21h33m33.90s,323.3912616,-49d00m45.06s,-49.0125169,4.96435,0.001065,-0.001065
GJ 682 b,GJ 682,1,2,2014,Multiple Observatories,17.478,0.062,-0.04,0,0.08,0.014,-0.004,0,1.93,,,0,4.4,3.7,-2.4,0,Msini,3028,,,0,0.3,0.01,-0.01,0,0.27,,,0,,4.93,0.01,-0.01,0,17h37m02.65s,264.2610245,-44d19m23.71s,-44.3232519,5.00671,0.0021,-0.0021
GJ 682 c,GJ 682,1,2,2014,Multiple Observatories,57.32,0.45,-0.48,0,0.176,0.03,-0.009,0,2.89,,,0,8.7,5.8,-4.6,0,Msini,3028,,,0,0.3,0.01,-0.01,0,0.27,,,0,,4.93,0.01,-0.01,0,17h37m02.65s,264.2610245,-44d19m23.71s,-44.3232519,5.00671,0.0021,-0.0021
GJ 3323 b,GJ 3323,1,2,2017,La Silla Observatory,5.3636,0.0007,-0.0007,0,0.03282,0.00054,-0.00056,0,1.23,,,0,2.02,0.26,-0.25,0,Msini,3159,49,-49,0,0.12,0.03,-0.03,0,0.16,,,0,[Fe/H],,,,,05h01m56.85s,75.4868824,-06d56m54.65s,-6.9485133,5.37484,0.00172,-0.00172
GJ 3323 c,GJ 3323,1,2,2017,La Silla Observatory,40.54,0.21,-0.19,0,0.1264,0.0021,-0.0022,0,1.32,,,0,2.31,0.5,-0.49,0,Msini,3159,49,-49,0,0.12,0.03,-0.03,0,0.16,,,0,[Fe/H],,,,,05h01m56.85s,75.4868824,-06d56m54.65s,-6.9485133,5.37484,0.00172,-0.00172
GJ 251 b,GJ 251,1,1,2020,W. M. Keck Observatory,14.238,0.002,-0.002,0,0.0818,0.0011,-0.0012,0,1.83,,,0,4,0.4,-0.4,0,Msini,3451,51,-51,0,0.36,0.01,-0.01,0,0.36,0.01,-0.01,0,[Fe/H],4.96,0.07,-0.07,0,06h54m48.06s,103.7002499,+33d15m59.27s,33.2664632,5.58057,0.00198,-0.00198
GJ 411 b,GJ 411,1,2,2019,Haute-Provence Observatory,12.9394,0.0014,-0.0013,0,0.07879,0.00056,-0.00055,0,1.45,,,0,2.69,0.19,-0.18,0,Msini,3719,21,-31,0,0.37,0.01,-0.01,0,0.39,0.01,-0.01,0,[Fe/H],4.9,0.01,-0.01,0,11h03m20.27s,165.834471,+35d58m20.34s,35.972317,5.675773,0.0059099,-0.0059099
